id,lat,lon
276009024224395,49.24721,6.84584
276009024220166,49.24739,6.86804
276009025376492,49.23828,6.97849
276009007356118,49.25178,6.86053
276009026294689,49.24875,6.86235
276009025518462,49.23473,6.97758
276009024812482,49.25534,6.87826
276009025378269,49.20877,7.02721
276009026302322,49.25442,7.03604
276009024813547,49.25211,6.86439
276009024814916,49.22995,7.00567
276009024812502,49.22629,7.03291
276009024214413,49.23166,6.99987
276009025356139,49.2164,7.0297
276009025521641,49.23835,6.97571
276009026290618,49.24547,6.93867
276009024815338,49.24904,6.90165
276009024215748,49.22889,6.99075
276009026288217,49.23835,6.97571
276009025521578,49.25231,6.81799
276009025520915,49.24856,6.85113
276009026293271,49.259,6.85299
276009024815460,49.20892,7.03074
276009024815850,49.25003,6.85143
276009024217768,49.22546,6.96114
276009024814792,49.25793,6.8519
276009025521598,49.24379,6.84091
276009024221417,49.23364,7.00155
276009026287217,49.23597,6.98692
276009026290620,49.15653,7.03374
276009024814935,49.25173,6.86014
276009025375240,49.22501,7.04296
276009026290681,49.16774,7.03324
276009024225786,49.22742,7.02126
276009024815735,49.23944,6.95544
276009026303041,49.23869,6.99656
276009024815340,49.24,6.98963
276009024815789,49.24812,6.88606
276009026287252,49.24084,6.96286
276009025357808,49.22316,6.97826
276009026296025,49.23677,6.96755
276009025521823,49.23618,6.98906
276009025376766,49.24212,6.9892
276009026290188,49.23786,6.99836
276009024815584,49.22175,6.80861
276009025518369,49.20945,6.96622
276009024813867,49.24427,6.86799
276009025522458,49.2414,7.00276
276009024812890,49.24784,6.83696
276009023653346,49.22756,7.01183
276009023656489,49.20551,7.02079
276009025356148,49.22757,7.01201
276009026302659,49.25641,7.04076
276009026287038,49.25449,7.03987
276009024813251,49.2463,6.93733
276009024226918,49.18866,7.03872
276009026294446,49.23672,6.96816
276009026302378,49.20754,6.96718
276009026292403,49.49379,6.86828
276009024812692,49.4086,6.9097
276009026291264,49.27229,6.83683
276009025375062,49.4522,7.05512
276009026294057,49.28868,6.88582
276009026289619,49.29951,7.06105
276009026294866,49.34584,6.93505
276009025520426,49.3696,7.08701
276009025520690,49.27626,7.03286
276009026292012,49.29535,7.05405
276009026302439,49.30281,6.80247
276009026303540,49.48185,7.0338
276009024812716,49.27233,6.83685
276009024813915,49.33508,6.92965
276009026290097,49.29535,7.05405
276009026294015,49.3443,7.03185
