lat,lon,ratedPowerKW
49.29942,6.80994,22
49.43605,6.84665,22
49.28596,6.88499,22
49.351,6.807,50
49.351,6.807,22
49.351,6.807,50
49.351,6.807,22
49.351,6.807,43
49.29942,6.80995,22
49.28868,6.88582,22
49.37314,7.04002,22
49.40612,6.96561,22
49.37535,7.0502,22
49.44156,6.85518,22
49.42882,6.84742,50
49.42882,6.84742,22
49.42882,6.84742,50
49.42882,6.84742,22
49.42882,6.84742,43
49.30304,7.06144,22
49.44156,6.85518,22
49.29844,7.06087,22
49.49148,7.0379,22
49.30051,6.94452,22
49.49379,6.86828,22
49.3492,7.05055,43
49.3492,7.05055,50
49.3492,7.05055,50
49.3257,7.0524,22
49.34404,7.03157,22
49.30027,6.89504,22
49.29844,7.06087,22
49.43597,6.8467,22
49.35246,7.1851,90
49.35246,7.1851,50
49.35246,7.1851,22
49.3427,7.1792,22
49.32793,7.3383,22
49.40231,7.16584,22
49.38831,7.33467,90
49.38831,7.33467,22
49.38831,7.33467,90
49.27398,7.10994,22
49.30253,7.26729,22
49.27972,7.1093,43
49.27972,7.1093,50
49.27972,7.1093,50
49.35198,7.18658,22
49.4509,7.23076,22
49.27796,7.10295,90
49.27834,7.11231,22
49.35246,7.1851,50
49.35246,7.1851,7.4
49.35174,7.17602,22
49.3093,7.34543,22
49.37325,7.37443,120
49.37325,7.37443,120
49.3471,7.31283,50
49.3471,7.31283,
49.3471,7.31283,50
49.4654,7.16568,22
49.33211,7.33906,50
49.33211,7.33906,22
49.33211,7.33906,50
49.33211,7.33906,22
49.33211,7.33906,43
49.46847,7.14319,50
49.46847,7.14319,22
49.34641,7.35603,22
49.37479,7.28955,11
49.33772,7.17066,50
49.33772,7.17066,22
49.35504,7.12857,22
49.46774,7.16908,22
49.30339,7.26471,50
49.30339,7.26471,22
49.27851,7.11533,22
49.3463,7.25599,22
49.28456,7.16087,22
49.47656,7.34594,3.7
49.47656,7.34594,22
49.28717,7.13253,43
49.27986,7.10243,50
49.46548,7.16085,22
49.32734,7.32585,22
49.27426,7.11134,22
49.34515,7.20563,22
49.34761,7.25759,22
49.35246,7.1851,22
49.35246,7.1851,150
49.32126,7.0965,22
49.31496,7.15199,22
49.28011,7.15784,43
49.28011,7.15784,50
49.28011,7.15784,22
49.28011,7.15784,50
49.28011,7.15784,22
49.28011,7.15784,43
49.37323,7.37442,50
49.37323,7.37442,90
49.37323,7.37442,50
49.37323,7.37442,
49.34606,7.35377,22
49.28281,7.13095,22
49.27871,7.11523,22
49.27809,7.11114,22
49.40898,7.3782,90
49.40898,7.3782,22
49.40898,7.3782,90
49.47005,7.16587,22
49.27627,7.11953,22
49.46894,7.15373,22
49.37576,7.3761,50
49.37576,7.3761,43
49.37576,7.3761,50
49.34609,7.25021,22
49.28145,7.10475,50
49.28145,7.10475,
49.28145,7.10475,50
49.3231,7.33902,22
49.25662,7.37729,22
49.23506,7.26942,22
49.24318,7.14523,22
49.14596,7.20378,22
49.23639,7.26021,22
49.24734,7.25935,90
49.24734,7.25935,22
49.24734,7.25935,50
49.18676,7.36925,22
49.24917,7.35981,22
49.22044,7.11269,22
49.1875,7.36983,90
49.1875,7.36983,22
49.1875,7.36983,90
49.24913,7.36549,22
49.23682,7.26772,22
49.2679,7.12405,22
49.25012,7.25689,22
49.18683,7.36882,11
49.24913,7.36549,22
49.16699,7.09551,22
49.16699,7.09551,11
49.26268,7.36146,50
49.26268,7.36146,22
49.24933,7.3485,120
49.25026,7.35408,22
50.06827,6.18435,22
50.17605,6.14605,22
50.06827,6.18435,22
50.96164,6.1237,22
51.05861,6.21582,22
51.06254,6.09637,22
51.06254,6.09637,
50.99081,5.99846,22
51.04793,6.15307,22
51.21598,6.1585,22
51.06232,6.09347,11
50.96126,6.14366,22
51.10117,6.15572,22
51.07326,6.02366,11
51.32874,6.19652,43
51.32874,6.19652,50
51.32874,6.19652,50
51.06285,6.09257,22
51.09163,6.03653,22
51.31578,6.1908,22
51.21248,6.16545,22
50.96447,6.12098,22
50.96181,6.12716,22
51.21598,6.1585,22
51.06092,6.09464,11
51.11316,6.15106,22
51.3283,6.21236,43
51.3283,6.21236,50
51.3283,6.21236,50
51.06584,6.09673,22
50.99085,5.998,22
51.24473,6.19067,22
51.23202,6.15766,22
51.06025,6.11818,22
51.06025,6.11818,
51.09162,6.15759,22
51.09162,6.15759,22
51.09162,6.15759,25
50.99293,5.99488,22
51.06357,6.09731,22
51.24364,6.18943,22
51.12275,6.21602,22
51.00335,5.92885,22
51.2813,6.19634,22
51.24254,6.18526,22
51.20968,6.18268,11
51.05292,5.9993,11
51.0,6.0,22
51.21137,6.18114,22
51.01561,5.90122,22
51.09799,6.1553,22
51.12354,6.10135,22
51.06007,6.10744,22
51.10545,6.17675,22
51.01617,5.90213,22
50.96209,6.12649,22
51.05733,6.04026,11
51.24043,6.18279,22
50.9612,6.11843,22
50.96393,6.12501,22
51.21287,6.13603,22
51.28173,6.18458,22
51.05789,6.14014,22
51.21233,6.1657,22
50.97268,6.09191,90
50.97268,6.09191,50
51.04659,6.16165,22
51.09968,6.16043,22
51.06021,6.109,22
50.7806,6.05079,22
50.7806,6.05079,
50.77548,6.04985,22
50.77243,6.03733,22
50.77243,6.03733,
50.7806,6.06784,11
50.7806,6.06784,3.7
50.7724,6.03739,11
50.7724,6.03739,
50.76946,6.05826,43
50.76946,6.05826,50
50.76946,6.05826,50
50.81093,6.06107,22
50.81128,6.06156,22
50.78785,6.068,22
50.78785,6.068,22
50.77839,6.04483,22
50.7806,6.05079,22
50.7806,6.05079,
50.77022,6.04094,43
50.77022,6.04094,50
50.77022,6.04094,50
50.78434,6.04349,22
50.78434,6.04349,
50.795,6.06645,22
50.77972,6.06815,22
50.77972,6.06815,
50.76946,6.05826,22
50.76946,6.05826,50
50.77101,6.05812,22
50.79037,6.06076,22
50.79037,6.06076,
50.78582,6.04739,22
50.78059,6.0508,22
50.78059,6.0508,
50.79198,6.06529,22
50.7847,6.04723,22
50.7724,6.03739,11
50.7724,6.03739,
50.77987,6.06612,11
50.77987,6.06612,
50.77101,6.05812,22
50.77101,6.05812,22
50.77797,6.0451,22
50.81681,6.06574,90
50.81681,6.06574,22
50.91813,6.17305,22
50.87399,6.16265,22
50.91813,6.17305,22
50.8196,6.12951,22
50.90417,6.18332,22
50.818,6.215,120
50.87134,6.15916,22
50.90229,6.18264,22
50.90666,6.18225,22
50.84171,6.10927,22
50.9044,6.18415,22
50.88542,6.10235,22
50.82341,6.16452,22
50.91967,6.17421,90
50.87285,6.09512,22
50.87285,6.09512,
50.87021,6.10262,22
50.92082,6.11308,22
50.87514,6.1655,22
50.82856,6.07953,22
50.82856,6.07953,
50.9105,6.17893,22
50.84171,6.10927,22
50.90222,6.18264,22
50.86915,6.18089,22
50.87135,6.15905,22
50.87157,6.15917,22
50.87033,6.10156,22
50.81831,6.13305,22
50.86426,6.09214,22
50.818,6.215,90
50.818,6.215,22
50.818,6.215,90
50.87538,6.14548,22
50.81714,6.21555,90
50.81714,6.21555,22
50.81714,6.21555,90
50.86336,6.1074,22
50.82856,6.07953,22
50.82856,6.07953,
50.86363,6.15123,22
50.81549,6.1429,22
50.82532,6.12804,22
50.86363,6.15123,22
50.86363,6.15127,22
50.87538,6.14548,22
50.87021,6.10262,22
50.81731,6.21663,90
50.91813,6.17305,22
50.88675,6.11801,22
50.81687,6.21574,120
50.85852,6.20184,22
50.82856,6.07953,22
50.87139,6.09527,11
50.87139,6.09527,
50.91943,6.11931,22
50.90222,6.18264,22
50.82529,6.1283,22
50.82948,6.08461,22
50.91893,6.1744,22
50.81793,6.21556,22
50.81793,6.21556,50
50.81955,6.1293,22
50.81551,6.14202,22
50.92355,6.20378,22
50.8586,6.20194,22
50.86205,6.08179,22
50.84271,6.10927,22
50.92219,6.11517,22
50.92515,6.20873,22
50.91079,6.19034,22
50.91079,6.19034,50
50.82981,6.08337,22
50.91943,6.11931,22
50.82341,6.16452,22
50.92122,6.1133,22
50.86439,6.10314,22
50.87355,6.16472,22
50.92319,6.20284,22
50.81716,6.21561,22
50.81716,6.21561,50
50.82341,6.16452,22
50.85887,6.15134,22
50.87369,6.16458,22
50.82501,6.18585,22
50.87809,6.18549,22
50.81767,6.21385,90
50.91929,6.11922,22
50.832,6.0753,22
50.832,6.0753,
50.84271,6.10927,22
50.82532,6.12804,22
50.91813,6.17305,22
50.75518,6.09591,22
50.75518,6.09591,3.7
50.75353,6.14428,11
50.71269,6.13794,90
50.71269,6.13794,22
50.75432,6.095,22
50.75432,6.095,
50.76678,6.10852,22
50.76678,6.10852,
50.75941,6.08289,22
50.75941,6.08289,
50.78938,6.11229,22
50.76878,6.07803,11
50.76878,6.07803,3.7
50.79586,6.12425,22
50.79586,6.12425,3.7
50.76866,6.07821,22
50.76866,6.07821,
50.75564,6.0942,22
50.75564,6.0942,
50.76849,6.0917,22
50.76849,6.0917,
